WARD_ID,WARD_AREA_KM2,POPULATION,NEAREST_FACILITY_KM,FACILITY_COUNT_2KM,DATA_AVAILABILITY,POPULATION_DENSITY,ACCESS_GAP,FACILITY_DEFICIT,RISK_SCORE,TOP_RISK_DRIVER,SHAP_POPULATION_DENSITY,SHAP_NEAREST_FACILITY_KM,SHAP_FACILITY_COUNT_2KM,SHAP_ACCESS_GAP,SHAP_FACILITY_DEFICIT
30,0.8838371105733019,25286.0,0.0233473511472983,0.1764705882352941,VALIDATED,0.1510846526468021,0.0236094826150177,0.0,0.058456916,FACILITY_COUNT_2KM,0.005013487,-0.00074407196,-0.07062006,-0.024254339,-0.06359943
33,2.5840154805650686,41617.0,0.0366017929912858,0.4705882352941176,VALIDATED,0.0799811708428309,0.0200208192691101,0.0,0.030632976,FACILITY_COUNT_2KM,-0.015939137,-0.0007255709,-0.07062473,-0.027427927,-0.06731099
31,1.5940881566006022,32152.0,0.0490468108264224,0.4705882352941176,VALIDATED,0.103091160774241,0.0350610226462033,0.0,0.04532076,FACILITY_COUNT_2KM,-0.009865757,-0.0007092645,-0.070257396,-0.02036596,-0.066142194
34,2.3707740777942985,49559.0,0.0459287790348264,0.4705882352941176,VALIDATED,0.1072686083289091,0.0340204172625896,0.0,0.04532076,FACILITY_COUNT_2KM,-0.009865757,-0.0007092645,-0.070257396,-0.02036596,-0.066142194
35,1.7505679972940895,40075.0,0.0230084517585392,0.4705882352941176,VALIDATED,0.1185759056966175,0.0180631053449743,0.0,0.037368003,FACILITY_COUNT_2KM,-0.0094694765,-0.00050907285,-0.07071407,-0.027256295,-0.06734442
44,0.6599672251260144,14291.0,0.0343569683537668,0.4117647058823529,VALIDATED,0.1115333122477371,0.0260491330502187,0.0,0.040537465,FACILITY_COUNT_2KM,-0.00946396,-0.00071569445,-0.070623994,-0.024743304,-0.06657691
45,1.1146676804402518,17871.0,0.0403402223631816,0.4705882352941176,VALIDATED,0.0795662084529678,0.0221397048820419,0.0,0.03260779,FACILITY_COUNT_2KM,-0.016484337,-0.0007255709,-0.07002089,-0.02595349,-0.06686926
36,1.5166689208018105,52262.0,0.0204622967105604,0.5294117647058824,VALIDATED,0.1843456848961698,0.0253046369786098,0.0,0.064145416,FACILITY_COUNT_2KM,0.012845254,-0.00056085427,-0.07386297,-0.023893012,-0.06304435
46,1.011561918554631,12747.0,0.0162079373657284,0.5882352941176471,VALIDATED,0.0600540694014275,0.0055488658050995,0.0,0.022663873,FACILITY_COUNT_2KM,-0.019962711,-0.00040133664,-0.07000252,-0.031879295,-0.06775158
47,0.7489073071673488,14379.0,0.0130762425046812,0.7647058823529411,VALIDATED,0.0975777534998078,0.0076435047694681,0.0,0.034036905,FACILITY_COUNT_2KM,-0.011557164,0.0016771047,-0.072616205,-0.028376598,-0.06775158
48,0.4763955767192736,18269.0,0.0227925387156095,0.6470588235294118,VALIDATED,0.2064662249141609,0.0317795679831404,0.0,0.073826395,FACILITY_COUNT_2KM,0.019896189,-0.00056085427,-0.07595833,-0.019664127,-0.06254782
42,0.5775994561913602,27857.0,0.0261014519217975,0.7058823529411764,VALIDATED,0.262652454523014,0.0465811835380578,0.0,0.10225614,FACILITY_COUNT_2KM,0.04602513,-0.0007000056,-0.07635451,-0.020719428,-0.058656354
43,0.9469236619602156,15835.0,0.0070731824763327,0.5882352941176471,VALIDATED,0.0834898843418288,0.0025865017992901,0.0,0.026093481,FACILITY_COUNT_2KM,-0.015983934,0.0012109459,-0.070980944,-0.033062335,-0.06775158
39,1.03056403281421,30573.0,0.0161510075820256,0.5294117647058824,VALIDATED,0.1570949697088178,0.0166676630471694,0.0,0.057662215,FACILITY_COUNT_2KM,0.006734205,-0.00050907285,-0.070191555,-0.026665773,-0.06436694
